Month_Date,Total_EV_Sales,is_holiday
2014-01-01,232,0
2014-02-01,171,0
2014-03-01,220,0
2014-04-01,252,0
2014-05-01,186,1
2014-06-01,149,0
2014-07-01,199,0
2014-08-01,180,0
2014-09-01,168,0
2014-10-01,188,0
2014-11-01,210,0
2014-12-01,237,0
2015-01-01,174,0
2015-02-01,182,0
2015-03-01,222,0
2015-04-01,175,0
2015-05-01,195,1
2015-06-01,287,0
2015-07-01,383,0
2015-08-01,711,0
2015-09-01,968,0
2015-10-01,1073,0
2015-11-01,1251,0
2015-12-01,2184,0
2016-01-01,1946,0
2016-02-01,2499,0
2016-03-01,4520,0
2016-04-01,3443,0
2016-05-01,4004,1
2016-06-01,5119,0
2016-07-01,4380,0
2016-08-01,4022,0
2016-09-01,4174,0
2016-10-01,6336,0
2016-11-01,4904,0
2016-12-01,4508,0
2017-01-01,4582,0
2017-02-01,4411,0
2017-03-01,5992,0
2017-04-01,5054,0
2017-05-01,7059,1
2017-06-01,7509,0
2017-07-01,9047,0
2017-08-01,9169,0
2017-09-01,7735,1
2017-10-01,7660,0
2017-11-01,10087,0
2017-12-01,9115,0
2018-01-01,9003,0
2018-02-01,7372,0
2018-03-01,7696,0
2018-04-01,7335,1
2018-05-01,8261,1
2018-06-01,8833,0
2018-07-01,11397,0
2018-08-01,11792,0
2018-09-01,13588,0
2018-10-01,14986,0
2018-11-01,14112,0
2018-12-01,15879,0
2019-01-01,13379,0
2019-02-01,12228,0
2019-03-01,15154,0
2019-04-01,11185,0
2019-05-01,10082,1
2019-06-01,11159,0
2019-07-01,12479,0
2019-08-01,13252,0
2019-09-01,16145,0
2019-10-01,15720,0
2019-11-01,19006,0
2019-12-01,17030,0
2020-01-01,16865,0
2020-02-01,16569,0
2020-03-01,14066,0
2020-04-01,975,0
2020-05-01,1311,1
2020-06-01,6486,0
2020-07-01,7799,0
2020-08-01,8558,1
2020-09-01,11355,0
2020-10-01,11456,0
2020-11-01,13390,0
2020-12-01,15860,0
2021-01-01,17025,0
2021-02-01,20073,0
2021-03-01,28115,0
2021-04-01,15020,0
2021-05-01,3602,1
2021-06-01,12317,0
2021-07-01,28146,0
2021-08-01,30818,0
2021-09-01,36604,0
2021-10-01,40952,0
2021-11-01,45077,0
2021-12-01,53749,0
2022-01-01,51476,0
2022-02-01,58056,0
2022-03-01,83080,0
2022-04-01,77522,0
2022-05-01,69916,1
2022-06-01,75852,0
2022-07-01,80887,0
2022-08-01,89012,0
2022-09-01,94903,0
2022-10-01,117486,0
2022-11-01,121570,0
2022-12-01,104963,0
2023-01-01,102840,0
2023-02-01,107178,0
2023-03-01,140823,0
2023-04-01,111233,0
2023-05-01,158131,1
2023-06-01,102043,0
2023-07-01,115756,0
2023-08-01,126509,0
2023-09-01,127793,0
2023-10-01,139232,0
2023-11-01,152610,0
2023-12-01,141034,0
2024-01-01,143182,0
2024-02-01,140476,0
2024-03-01,200495,0
2024-04-01,112396,0
2024-05-01,123039,1
2024-06-01,108703,0
2024-07-01,127773,0
2024-08-01,106511,0
2024-09-01,96900,0
2024-10-01,109931,0
2024-11-01,96085,1
2024-12-01,73154,0
