Month_Date,2W_EV_Sales,3W_EV_Sales,4W_EV_Sales,Bus_EV_Sales,is_holiday,Total_EV_Sales
2014-01-01,174,2,34,0,0,210
2014-02-01,130,0,24,1,0,155
2014-03-01,151,2,46,0,0,199
2014-04-01,192,2,32,2,0,228
2014-05-01,123,0,38,0,1,161
2014-06-01,108,1,23,0,0,132
2014-07-01,154,1,17,0,0,172
2014-08-01,111,0,60,0,0,171
2014-09-01,95,0,61,0,0,156
2014-10-01,124,0,57,0,0,181
2014-11-01,147,1,52,0,0,200
2014-12-01,166,1,58,0,0,225
2015-01-01,90,1,73,0,0,164
2015-02-01,109,3,56,0,0,168
2015-03-01,144,1,56,0,0,201
2015-04-01,113,11,43,1,0,168
2015-05-01,86,42,55,1,1,184
2015-06-01,157,46,75,0,0,278
2015-07-01,113,173,80,1,0,367
2015-08-01,116,520,60,0,0,696
2015-09-01,124,773,52,0,0,949
2015-10-01,139,859,61,0,0,1059
2015-11-01,113,1074,52,0,0,1239
2015-12-01,140,1927,100,0,0,2167
2016-01-01,118,1720,86,1,0,1925
2016-02-01,121,2290,49,0,0,2460
2016-03-01,136,4285,67,0,0,4488
2016-04-01,122,3230,57,2,0,3411
2016-05-01,100,3816,38,0,1,3954
2016-06-01,149,4892,41,0,0,5082
2016-07-01,130,4167,47,0,0,4344
2016-08-01,84,3842,58,0,0,3984
2016-09-01,104,3988,46,0,0,4138
2016-10-01,143,6056,68,1,0,6268
2016-11-01,114,4640,101,1,0,4856
2016-12-01,139,4263,34,0,0,4436
2017-01-01,110,4332,87,0,0,4529
2017-02-01,76,4171,71,0,0,4318
2017-03-01,131,5436,119,0,0,5686
2017-04-01,95,4666,83,0,0,4844
2017-05-01,91,6578,155,2,1,6826
2017-06-01,137,7086,73,1,0,7297
2017-07-01,115,8685,62,0,0,8862
2017-08-01,97,8833,93,0,0,9023
2017-09-01,108,7346,88,0,1,7542
2017-10-01,160,7175,127,0,0,7462
2017-11-01,212,9480,91,11,0,9794
2017-12-01,183,8554,80,0,0,8817
2018-01-01,162,8411,91,0,0,8664
2018-02-01,152,6749,178,2,0,7081
2018-03-01,445,6851,93,5,0,7394
2018-04-01,481,6361,137,0,1,6979
2018-05-01,642,7110,164,2,1,7918
2018-06-01,954,7361,196,1,0,8512
2018-07-01,1196,9582,161,0,0,10939
2018-08-01,1470,9744,109,0,0,11323
2018-09-01,2147,10954,135,0,0,13236
2018-10-01,2477,12088,74,1,0,14640
2018-11-01,3155,10247,176,7,0,13585
2018-12-01,3105,12208,125,2,0,15440
2019-01-01,2416,10135,74,5,0,12630
2019-02-01,2837,8518,228,43,0,11626
2019-03-01,5122,8731,240,5,0,14098
2019-04-01,2963,7585,119,35,0,10702
2019-05-01,1513,7905,61,54,1,9533
2019-06-01,1596,8960,57,30,0,10643
2019-07-01,1502,10430,110,35,0,12077
2019-08-01,1444,11205,96,80,0,12825
2019-09-01,1475,13986,162,33,0,15656
2019-10-01,2029,12820,193,81,0,15123
2019-11-01,3030,14871,219,50,0,18170
2019-12-01,1848,14011,100,53,0,16012
2020-01-01,2159,12992,288,9,0,15448
2020-02-01,2113,13193,492,19,0,15817
2020-03-01,2711,10373,414,7,0,13505
2020-04-01,83,824,3,0,0,910
2020-05-01,542,638,83,0,1,1263
2020-06-01,1438,4328,295,0,0,6061
2020-07-01,1415,5465,357,0,0,7237
2020-08-01,2011,5411,370,0,1,7792
2020-09-01,2972,7248,336,1,0,10557
2020-10-01,2422,7323,467,8,0,10220
2020-11-01,3734,7856,566,34,0,12190
2020-12-01,4374,9461,524,6,0,14365
2021-01-01,4788,10309,648,39,0,15784
2021-02-01,6259,10455,614,186,0,17514
2021-03-01,11040,12408,878,95,0,24421
2021-04-01,5394,7322,625,155,0,13496
2021-05-01,1175,1888,256,84,1,3403
2021-06-01,4568,5774,818,70,0,11230
2021-07-01,14077,10940,1118,44,0,26179
2021-08-01,15174,12478,1102,80,0,28834
2021-09-01,16981,15855,1316,79,0,34231
2021-10-01,19596,17361,1374,84,0,38415
2021-11-01,23271,17720,1621,34,0,42646
2021-12-01,25173,22740,2613,221,0,50747
2022-01-01,28517,18275,1547,126,0,48465
2022-02-01,33939,17932,2449,133,0,54453
2022-03-01,52876,22469,3720,78,0,79143
2022-04-01,51319,20157,2245,165,0,73886
2022-05-01,41200,22506,2956,165,1,66827
2022-06-01,42763,26171,3209,145,0,72288
2022-07-01,45219,28611,3396,207,0,77433
2022-08-01,50579,31683,3343,227,0,85832
2022-09-01,51724,36018,3521,216,0,91479
2022-10-01,75265,33989,3912,245,0,113411
2022-11-01,74795,38659,3977,117,0,117548
2022-12-01,63263,34256,3835,161,0,101515
2023-01-01,63449,32500,3422,138,0,99509
2023-02-01,64919,33651,4748,117,0,103435
2023-03-01,84756,42046,8747,98,0,135647
2023-04-01,65478,35297,5999,87,0,106861
2023-05-01,103697,41428,7603,280,1,153008
2023-06-01,44970,45128,7758,200,0,98056
2023-07-01,53348,50955,7426,135,0,111864
2023-08-01,61766,53640,6748,250,0,122404
2023-09-01,62280,54397,6022,254,0,122953
